source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
drill_pack_16,drill_301,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,ham,jamón,han,Han,Final nasal place hard without visual cue,Lugar nasal final duro sin señal visual,pending,,,,,,
drill_pack_16,drill_302,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,beam,haz,bean,frijol,Long vowel with final nasal - common words,Vocal larga con nasal final - palabras comunes,pending,,,,,,
drill_pack_16,drill_303,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,came,vino,cane,caña,Diphthong true minimal pair,Diptongo verdadero par mínimo,pending,,,,,,
drill_pack_16,drill_304,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,dime,diez centavos,dine,cenar,Diphthong with clear nasal distinction,Diptongo con clara distinción nasal,pending,,,,,,
drill_pack_16,drill_305,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,fame,fama,fane,fane,Fricative onset with diphthong,Inicio fricativo con diptongo,pending,,,,,,
drill_pack_16,drill_306,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,game,juego,gain,ganar,High frequency pair builds confidence,El par de alta frecuencia genera confianza,pending,,,,,,
drill_pack_16,drill_307,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,gum,goma,gun,pistola,Short vowel common words,Palabras comunes de vocales cortas,pending,,,,,,
drill_pack_16,drill_308,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,him,a él,hin,hin,Very common pronoun vs archaic word,Pronombre muy común vs palabra arcaica,pending,,,,,,
drill_pack_16,drill_309,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,jam,atasco,Jan,Ene,Affricate onset with open vowel,Inicio africano con vocal abierta.,pending,,,,,,
drill_pack_16,drill_310,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,lamb,cordero,land,tierra,Near-minimal - cluster coda on one side,Casi mínimo: coda del grupo en un lado,pending,,,,,,
drill_pack_16,drill_311,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,lime,cal,line,línea,Diphthong with lateral onset,Diptongo con inicio lateral,pending,,,,,,
drill_pack_16,drill_312,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,room,habitación,rune,runa,Back rounded vowel context,Contexto vocal redondeado hacia atrás,pending,,,,,,
drill_pack_16,drill_313,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,same,mismo,sane,cuerdo,Common diphthong pair,Par de diptongos comunes,pending,,,,,,
drill_pack_16,drill_314,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,seam,costura,seen,visto,Long vowel minimal pair,Par mínimo de vocal larga,pending,,,,,,
drill_pack_16,drill_315,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,swim,nadar,twin,mellizo,Near-minimal with cluster onsets,Casi mínimo con inicios en racimo,pending,,,,,,
drill_pack_16,drill_316,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,team,equipo,teen,adolescente,Common long vowel pair,Par de vocales largas comunes,pending,,,,,,
drill_pack_16,drill_317,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,time,tiempo,tine,púa,Diphthong with voiceless stop onset,Diptongo con inicio de parada sorda,pending,,,,,,
drill_pack_16,drill_318,Nasal Place: /m/ vs /n/ Final,Nasal,4,3,Final,/m/,/n/,nan,nan,roam,vagar,roan,ruano,Less common pair tests true perception,Un par menos común prueba la verdadera percepción,pending,,,,,,
drill_pack_16,drill_319,Nasal Place: /m/ vs /n/ Final,Nasal,3,2,Final,/m/,/n/,nan,nan,some,alguno,sun,sol,Very high frequency words,Palabras de muy alta frecuencia,pending,,,,,,
drill_pack_16,drill_320,Nasal Place: /m/ vs /n/ Final,Nasal,4,3,Final,/m/,/n/,nan,nan,tram,tranvía,train,tren,Near-minimal with vowel difference,Casi mínimo con diferencia vocal,pending,,,,,,
